uuid,Title,Author,Year of publication
d044c5d8-0789-e61c-29b1-f5965ed07cf1,66 theosophische send-brieven,"Boehme, Jacob",1693
ba139cfc-f781-e45c-2cab-fb3cc418d2fa,"7 miracula naturae. Das ist, sieben uberauss treffliche, sonderbare, und bisshero unerhörte Arcanen, und Wunderwerck der Natur","[Habrecht, Isaac]",1619
ed83fb85-c7d6-7cea-1130-2de4b3de2ce0,75 jaar Erasmus boekhandel Amsterdam Parijs,"Veen, Sytze van der",2009
3a167688-7b26-6ad9-adf3-b155a6831eaa,"8 miraculum artis. Das ist: gründliche, vollkommene, und endliche Offenbarung vieler Geheimnussen","[Habrecht, Isaac]",1619
319cf973-2bd1-991c-67b4-9351134f3553,9 1/2 mystics: The Kabbalah today,"Weiner, Herbert",1992
a8d26c31-c0d1-ccdc-5ec6-aad59424b8a7,90/20 let skotského rádu v Ceské Republice,"Tvrzsky, Jaroslav|Barta, Cestmír",2012
4801a530-a5a4-2836-7f5e-504cc46b1a28,"900 conclusions, philosophiques, cabalistiques et théologiques","Pico della Mirandola, Giovanni",1999
252c1d10-7f82-4bb5-1ed1-89f45dd4ab6f,[Alpha] und [Omega] Erster Theil der christlichen geheimen Episteln oder Send-Brieffen,"[Barrfelt, Hendrik Jansen van]",1687
dac31728-bf20-8ac6-c1a8-32398949f357,[Apologeticus contra gentiles],Tertullianus,1493
a45b02c0-ff3d-1876-6a31-0edb73ede9e5,[Arabic: Rasa'il Tut fi al-Hikma wa al-Phalsafa] Treatises of Thoth on wisdom and philosophy,"Amer, Atyia",1999
1150c63e-eac0-69c1-608e-a16d5ed4249f,[Arabic: Readings in the history of the Egyptian Church],"Shoucri, Rachad Mounir",1995
ca0d15aa-15c2-61fe-242b-451f87f13882,[Arabic:] Ma'rifet nâmè,"Hakki Erzurumi, Ibrahim",1836
98c68ff6-98c9-a026-95ab-0f2480944025,[Arabic] Alphabetum arabicum cum isagoge scribendi legendique Arabicè,"Christmann, Jakob",1582
15193485-f695-e335-c96b-4e28fec54653,[Arabic] Dissertatio critico-philosophica qua atheismum fanaticismi sive Boemii naturalismum et spinozismum,"Herwegh, Gustav",1709
3cef681c-0c8a-28fa-fe68-fdaea9c02262,[Arabic] Evangelium infantiae vel liber apocryphus de infantia servatoris,,1697
8de03e2e-e4ed-f615-cb6b-bea515d29eea,[Arabic] Quellengeschichtliches Lesebuch zur Chemie und Alchemie der Araber in Mittelalter,"Weyer, Jost|Garbers, Karl",1980
58c5560d-e9f1-8042-73ec-be8aefc9e614,[Arabic] Tractatus qua atheismum fanaticismi sive Boemii naturalismum et spinozismum...eruit,"Herwegh, Gustav",1709
28b0466b-24b1-5a04-84cc-c7918d3f1a64,[Arabisch] De imitatione Christi,[Thomas a Kempis],1663
a97a6b8b-e0bf-d866-b882-f83e93dbf3a0,[Biblia],,1967
b8e73f71-5bad-9148-9352-b1d2deef3b6a,[Biblia] Liber psalmorum Davidis regis et prophetae,,1614
994e5077-7139-c912-0391-217b416660f7,[Biblia]. Epistola ad Rhomanos [etc.],,1512
17d693d2-1eb2-32c0-6dcd-39f8faf0bfcf,[Biblia]. Mystische und profetische Bibel,,1712
82c27085-85d1-e1c5-b92e-da7f45f2c531,[Biblia]. Quincuplex psalterium,,1509
b2def90d-f4d2-f5af-4d25-1e8fbe4af338,[Biblia]. Quincuplex psalterium,,1513
64d5b09d-bc2a-7bd1-d053-fda195726efd,"[Critical announcement of: Schottmüller, Der Untergang des Templerordens]","Wenck, K",1888
e0e27c31-5f22-200c-aa78-e42a5f66e8ba,[Cyrillic Books of the priests of Pisanija. Old and New Testament],,2004
bd125768-c4d6-2e7a-eb31-f924972d7db3,"[Cyrillic: ""Spread the first rays..."". N.I. Novikov and Russian masonry of 18th-early 19th century]",,1994
4ea9eeda-deb2-711a-d91c-14e5f5c9137d,[Cyrillic: 500 years of gnosis in Europa. Conference proceedings 26-27 March1993],,1994
81f9711f-a745-8fa3-bfa5-e5db78bf198d,[Cyrillic: A comparision of Egyptian symbols with those of the Hebrews],"Portal, Frederik",2021
2c43964f-0ad0-35cc-03df-5e71099f815f,[Cyrillic: About annual horoscope],Zadanfarrukh al-Andarzagar,2022
