uuid,Title,Author,Year of publication,english_translation,translation_sources,has_scan,scan_sources,google_books_error,internet_archive_error
dfe9fb99-4eb4-1758-f15a-6f3488d63725,'Dies Sanctificatus' vom Jahre 1439,"Cusa, Nicolaus de",1929,False,,False,,,
b9e8d7f1-095c-514a-ee49-73c259b13b83,"'Drink from this fountain'. Jacques Lefèvre d'Étaples, inspired humanist and dedicated editor","Harmsen, Theodor",2004,False,,False,,,
918e0336-44df-64fd-9008-ff8462523d19,"'Drink uit deze bron'. Jacques Lefèvre d'Étaples, geïnspireerd humanist en toegewijd tekstuitgever","Harmsen, Theodor",2004,False,,False,,,
69c7f5d6-83f4-17c6-eb5e-251e44c87700,'Du solst wissen es ist aus keinem stein gesogen'. Studien zu Jacob Böhmes Aurora oder Morgen Röte im auffgang,"Andersson, Bo",1986,True,Google Books:rF_jwAEACAAJ,True,Google Books:5upHDQAAQBAJ;Google Books:T03PkLcH70sC;Google Books:aSFmAAAAcAAJ,,
0ccb8b58-3c52-db1c-32bf-91e09e78507b,'Een stille leerschool van deugd en goede zeden'. Vrijmetselarij in Nederland in de 18e en 19e eeuw,,1995,False,,True,Google Books:5EIi24_cLukC;Google Books:F_JUAAAAcAAJ;Google Books:GZufRdDHJYEC;Google Books:P2JfAAAAcAAJ;Google Books:lbdmAAAAcAAJ;Google Books:pkA4s_LJhlcC;Google Books:pvpdAAAAcAAJ;Google Books:vUNfAAAAcAAJ,,
224cedf1-4777-e747-c82b-2769c22ab663,'Ex Libris'. De bibliotheek van Anna Maria Schurman en de catalogi van de Labadistenbibliotheek,"Schurman, Anna Maria van",2016,False,,False,,,
6ecddcc9-2eda-d5ef-4ad6-2c08eafbb0a9,'Flying Rolls' de l'ordre hermétique de la Golden Dawn. Gnose des Rose-Croix du XIXe siècle,,2006,False,,False,,,
9435a7c1-da4e-588b-bb3c-a15e63070a03,'Gij weet van mijn zitten'. Oosterse zen voor westerse christenen,"Luiken, M.",2000,False,,False,,,
3f96dbd0-7ba6-2026-2bc5-155618af8622,'Gott Haben' in der Antike und im frühen Christentum. Eine religions- und begriffsgeschichtliche Untersuchung,"Hanse, Hermann",1939,True,Google Books:SGeSAQAACAAJ,True,Google Books:cwWkEAAAQBAJ,,
67a6f650-69dd-9550-56af-123e8bdf06b3,'Hadewid Greca' te Merksem in 1212. Een historische reconstructie van de biografie van Hadewijch,"Devreese, Daniel",2010,False,,False,,,
910683a3-2d80-41b1-9b80-7e1d922cd199,'Ik moet spreken'. Het spiritueel leiderschap van Antoinette Bourignon (1616-1680),"Baar, Mirjam de",2004,False,,False,,,
40467605-2ac2-0127-9f16-70c39366706b,'In de greep van het theologisch-politiek probleem'. Leo Strauss en Spinoza,"Janssens, David",2005,True,Google Books:V05jzgEACAAJ;Google Books:XnQezQEACAAJ;Google Books:dvDmq-eTZVYC,True,Google Books:dvDmq-eTZVYC,,
0f772da4-35c5-fd7a-02e7-a6ebbefe21cf,'In Gott ist alle Wollust'. Zur Mystik Friedrich Spees,"Meinke, Anja",1994,False,,False,,,
d75d60bf-b34c-2e94-9a40-dfe1979f2768,'Jullie zijn allemaal verlicht . . . tot je je mond opendoet'. Uitspraken van Shunryu Suziku verzameld door David Chadwick,"Suzuki, Shunryu",2002,False,,False,,,
ec3861d1-9293-63cb-5afa-2ccd898037e8,'Maak gebeden van mijn verhalen' Verhalen van rabbi Nachman van Bratzlaw,"Tijn, Maartje van",1989,False,,False,,,
9ded01b9-12a9-1598-d352-bf2ee811da0f,"'No religion higher than truth': A history of the theosophical movement in Russia, 1875-1922","Carlson, Maria",1993,True,Google Books:11WStgAACAAJ;Google Books:1RDmEAAAQBAJ;Google Books:4eFiDwAAQBAJ;Google Books:5CzasgEACAAJ;Google Books:BnNbAAAAMAAJ;Google Books:Jrl9BgAAQBAJ;Google Books:Sos3AAAAIAAJ;Google Books:X1VvIS8AJ0oC;Google Books:ZA3rngEACAAJ;Google Books:apwIMQAACAAJ,True,Google Books:1RDmEAAAQBAJ;Google Books:4eFiDwAAQBAJ;Google Books:BnNbAAAAMAAJ;Google Books:Jrl9BgAAQBAJ;Google Books:X1VvIS8AJ0oC,,
8650e92e-dc81-84ed-ee36-b00f95523894,'Over de macht van het verstand' De rol van de remedies in het vijfde deel van Spinoza's Ethica,"Bartels, Jeroen",2019,False,,False,,,
be5db90b-b8db-ef56-33f5-a53c18f7f60d,"'s Levens felheid. De Meester van het Amsterdamse Kabinet of de Hausbuch-meester, ca. 1470-1500","Boon, K.G|Filedt Kok, J.P|Haga, M.D|Hutchison, Jane C|Madou, M.J.H|Moxey, Keith P.F|Moraw, Peter",1985,True,Google Books:TZQoMwEACAAJ,False,,,
458bc5da-63a6-fb1f-d2f0-bf9b9b959667,'Spirits' of various kinds,"Blavatsky, H.P",1915,True,Google Books:8ZQ50AEACAAJ;Google Books:JyJ3DgAAQBAJ;Google Books:UYOsoAEACAAJ;Google Books:bCHDDwAAQBAJ;Google Books:ckyuAAAACAAJ;Google Books:dHmQDwAAQBAJ;Google Books:kF63zgEACAAJ;Google Books:rEs4AQAAMAAJ;Google Books:tdW5EAAAQBAJ;Google Books:xWoAAAAAMAAJ,True,Google Books:JyJ3DgAAQBAJ;Google Books:bCHDDwAAQBAJ;Google Books:dHmQDwAAQBAJ;Google Books:tdW5EAAAQBAJ;Google Books:xWoAAAAAMAAJ,,
ed924355-7df2-5a9b-3bde-4a0576cb5f24,'t Nieuwe Jerusalem,"Teellinck, Willem",1651,True,Google Books:-wEPMwEACAAJ,True,Google Books:2rhnAAAAcAAJ;Google Books:OLR8J2jTDEoC;Google Books:vm6sgjzpR7IC,,
