identifier,title,creator,year,subjects,description,language,item_url,preferred_format,download_url,text_available,translation_status,notes
bub_gb_7IsfoZ4X968C,Antonij Trombete Patauini ... opus in Metaphysicam Arist. Padue in thomistas discussum cum questionibus perutilissimis antiquioribus adiectis in optimam seriem redactis & formalitates eiusdem cum additionibus & dilucidatione diligenti exculte,Antonio Trombetta,1502,bub_upload,,latin,https://archive.org/details/bub_gb_7IsfoZ4X968C,PDF,https://archive.org/download/bub_gb_7IsfoZ4X968C/bub_gb_7IsfoZ4X968C.pdf,likely,not-started,
bub_gb_7U9LUG2IFWkC,Opera Mar. Ant. Sabellici quae hoc volumine continentur. Epistolarum familiarum libri 12. Orationes. 12. De situ Venetae urbis libri tres. De Venetis magistratibus liber unus. De praetoris officio liber unus. De reparatione latinae linguae libri duo. De officio scribae liber unus. De vetustate Aquileiae libri sex. Poemata. ..,Marco Antonio Sabellico,1502,bub_upload,,latin,https://archive.org/details/bub_gb_7U9LUG2IFWkC,PDF,https://archive.org/download/bub_gb_7U9LUG2IFWkC/bub_gb_7U9LUG2IFWkC.pdf,likely,not-started,
bub_gb_BZgRKaU5tbkC,Guillermus vorrilong Super quattuor libris sententiarum nouiter correctus & apostillatus,Guillermus Vorrilong,1502,bub_upload,,latin,https://archive.org/details/bub_gb_BZgRKaU5tbkC,HTML,https://archive.org/download/bub_gb_BZgRKaU5tbkC/bub_gb_BZgRKaU5tbkC_hocr.html,likely,not-started,
bub_gb_iGFOY6LATAEC,Liber anathomie corporis humani & singulorum membrorum illius editus per ... Gabrielem de Zerbis Ueronensem,Gabriele : de Zerbis,1502,bub_upload,,latin,https://archive.org/details/bub_gb_iGFOY6LATAEC,PDF,https://archive.org/download/bub_gb_iGFOY6LATAEC/bub_gb_iGFOY6LATAEC.pdf,likely,not-started,
bub_gb_kAvj2P5NJWYC,Egidii Romani Commentaria in octo libros phisicorum Aristotelis,Egidio : Romano,1502,bub_upload,,latin,https://archive.org/details/bub_gb_kAvj2P5NJWYC,PDF,https://archive.org/download/bub_gb_kAvj2P5NJWYC/bub_gb_kAvj2P5NJWYC.pdf,likely,not-started,
bub_gb_Kd2Pm7azbYoC,Tullius De officiis de amicicia de senectute & paradoxis. Hec omnia Benedictus Brugnolus diligentissime castigauit. Insuper et greca verba que multa deerant accuratissime addidit nec aliquid reliquit desidarandum ..,Marcus Tullius Cicero,1502,bub_upload,,latin,https://archive.org/details/bub_gb_Kd2Pm7azbYoC,PDF,https://archive.org/download/bub_gb_Kd2Pm7azbYoC/bub_gb_Kd2Pm7azbYoC.pdf,likely,not-started,
bub_gb_KE_GCeJgH1MC,Pomponius Mela Cosmographus de situ orbis Hermolai Barbari fideliter emendatus,Pomponius Mela 1. sec. d.C.>,1502,bub_upload,,latin,https://archive.org/details/bub_gb_KE_GCeJgH1MC,PDF,https://archive.org/download/bub_gb_KE_GCeJgH1MC/bub_gb_KE_GCeJgH1MC.pdf,likely,not-started,
bub_gb_koj_ldH7UkcC,Hoc in uolumine hec continentur. Francisci Maturantii Perusini De componendis carminibus opusculum. Nicolai Perotti Sypontini De generibus metrorum. Eiusdem De Horatii Flacci ac Seuerini Boetii metris. Omniboni Vicentini De arte metrica libellus. Serui Mauri Honorati grammatici Centimetrum,Francesco Maturanzio,1502,bub_upload,,latin,https://archive.org/details/bub_gb_koj_ldH7UkcC,PDF,https://archive.org/download/bub_gb_koj_ldH7UkcC/bub_gb_koj_ldH7UkcC.pdf,likely,not-started,
bub_gb_-OEAlU7RhPoC,Antonij Trombete Patauini ... opus in Metaphysicam Arist. Padue in thomistas discussum cum questionibus perutilissimis antiquioribus adiectis in optimam seriem redactis & formalitates eiusdem cum additionibus & dilucidatione diligenti exculte,Antonio Trombetta,1502,bub_upload,,latin,https://archive.org/details/bub_gb_-OEAlU7RhPoC,PDF,https://archive.org/download/bub_gb_-OEAlU7RhPoC/bub_gb_-OEAlU7RhPoC.pdf,likely,not-started,
bub_gb_p8L56AQ2-ggC,"De regimine principum. Egidius Impressum Venetiis per magistrum Bernardinum Vercelensem iussu domini Andree Toresani de Asula, xxiiii.1502",Egidio : Romano,1502,bub_upload,,latin,https://archive.org/details/bub_gb_p8L56AQ2-ggC,PDF,https://archive.org/download/bub_gb_p8L56AQ2-ggC/bub_gb_p8L56AQ2-ggC.pdf,likely,not-started,
bub_gb_tDGDdTmfF_IC,Magistri Antonij Trombete In tractatum formalitatum Scoti sententia. Formalitates Antonij syreti de mente eiusdem Scoti. necnon stephani burlifer cum nouis additionibus & concordantiis magistri Mauricij hibernici in margine decorate,Antonio Trombetta,1502,bub_upload,,latin,https://archive.org/details/bub_gb_tDGDdTmfF_IC,PDF,https://archive.org/download/bub_gb_tDGDdTmfF_IC/bub_gb_tDGDdTmfF_IC.pdf,likely,not-started,
bub_gb_T_R_Mjk8OvMC,Liber anathomie corporis humani & singulorum membrorum illius editus per ... Gabrielem de Zerbis Ueronensem,Gabriele : de Zerbis,1502,bub_upload,,latin,https://archive.org/details/bub_gb_T_R_Mjk8OvMC,PDF,https://archive.org/download/bub_gb_T_R_Mjk8OvMC/bub_gb_T_R_Mjk8OvMC.pdf,likely,not-started,
bub_gb_tWIor369hKIC,Diui bernardi abbatis Ad sororem modus bene viuendi in christianam religionem,,1502,bub_upload,,latin,https://archive.org/details/bub_gb_tWIor369hKIC,PDF,https://archive.org/download/bub_gb_tWIor369hKIC/bub_gb_tWIor369hKIC.pdf,likely,not-started,
bub_gb__3yOx5U11XAC,Biblie iampridem renouate pars prima sexta complectens pentateuchum vna cum glosa ordinaria et litterali moralique expositione Nicolai de lyra necnon additionibus Burgensis ac replicis Thoringi nouisque distinctionibus et marginalibus summarijsque annotationibus Quinta pars huius operis in se continens glosam ordinariam cum expo,,1502,bub_upload,,latin,https://archive.org/details/bub_gb__3yOx5U11XAC,PDF,https://archive.org/download/bub_gb__3yOx5U11XAC/bub_gb__3yOx5U11XAC.pdf,likely,not-started,
bub_gb_AMcfqQVpktMC,Biblie iampridem renouate pars prima sexta complectens pentateuchum vna cum glosa ordinaria et litterali moralique expositione Nicolai de lyra necnon additionibus Burgensis ac replicis Thoringi nouisque distinctionibus et marginalibus summarijsque annotationibus Quinta pars huius operis in se continens glosam ordinariam cum expo,,1502,bub_upload,,latin,https://archive.org/details/bub_gb_AMcfqQVpktMC,HTML,https://archive.org/download/bub_gb_AMcfqQVpktMC/bub_gb_AMcfqQVpktMC_hocr.html,likely,not-started,
bub_gb_asCKUrT1IjwC,Orationes et Carmina Baroaldi,Filippo Beroaldo,1502,bub_upload,,latin,https://archive.org/details/bub_gb_asCKUrT1IjwC,PDF,https://archive.org/download/bub_gb_asCKUrT1IjwC/bub_gb_asCKUrT1IjwC.pdf,likely,not-started,
bub_gb_dS0YsBGDylQC,Biblie iampridem renouate pars prima sexta complectens pentateuchum vna cum glosa ordinaria et litterali moralique expositione Nicolai de lyra necnon additionibus Burgensis ac replicis Thoringi nouisque distinctionibus et marginalibus summarijsque annotationibus,,1502,bub_upload,,latin,https://archive.org/details/bub_gb_dS0YsBGDylQC,HTML,https://archive.org/download/bub_gb_dS0YsBGDylQC/bub_gb_dS0YsBGDylQC_hocr.html,likely,not-started,
bub_gb_KhknuxrNZEoC,Petri marcelli De uitis principum et gestis Venetorum compendium,Pietro Marcello,1502,bub_upload,,latin,https://archive.org/details/bub_gb_KhknuxrNZEoC,PDF,https://archive.org/download/bub_gb_KhknuxrNZEoC/bub_gb_KhknuxrNZEoC.pdf,likely,not-started,
bub_gb_lh8-rBI0f2cC,Diuinum Petri Hieremie opus. Sermones in aduentum domini. Sermones de peccato. Sermones de fide sermones de penitentia. Sermones de oratione. Sermones dominicales per totum annum. Sermones de sanctis,Pietro Geremia,1502,bub_upload,,latin,https://archive.org/details/bub_gb_lh8-rBI0f2cC,HTML,https://archive.org/download/bub_gb_lh8-rBI0f2cC/bub_gb_lh8-rBI0f2cC_hocr.html,likely,not-started,
